,SEENJOY,SEGRADES,SEABSNT,SEREPEAT,SESUSPIN,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSFUNDRS,FSCOMMTE,FSATCNFN,FSCOUNSLR,FSFREQ,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FOHISTX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,FOSPRTEVX,FHCHECKX,FHHELP,FORESPON,FODINNERX,FPWT,pi_pro_schl_feats_comp,pi_pro_hm_feats_comp
137,1,1,0,2,2,1,1,1,1,1,1,1,1,0,1,2,1,1,2,2,1,1,1,1,1,2,2,4,4,1,7,1417.044533864,6,18
139,2,1,3,2,2,2,2,2,2,1,1,1,2,3,2,1,2,1,2,2,2,2,1,2,1,2,2,4,4,1,4,21401.9351644396,10,22
140,2,2,1,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,1,3,2,2,7,4116.36766389833,8,21
141,2,2,5,2,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,4398.16385892791,8,13
142,2,2,6,2,2,2,2,2,2,2,1,2,2,30,2,2,1,2,2,2,1,1,2,1,2,2,1,4,1,2,6,4253.75252672071,11,21
143,1,1,6,2,2,2,2,2,1,2,1,2,2,12,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,1577.01706784509,10,17
144,2,1,0,2,2,2,2,2,1,2,1,2,1,12,1,1,2,2,2,1,1,1,2,2,1,2,2,4,1,2,5,2803.67862683291,10,20
145,2,2,5,1,2,2,2,2,1,2,1,2,1,5,2,1,1,2,2,2,1,1,2,1,1,1,2,4,3,2,2,3551.6999847364295,10,19
146,1,1,1,2,2,2,1,2,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,2,2137.70859856844,9,13
147,3,3,2,2,2,1,1,2,1,2,1,2,2,3,2,1,1,1,1,2,2,2,1,1,1,1,1,3,5,2,3,860.795823517886,8,17
148,2,2,2,1,2,2,1,2,1,2,1,2,1,5,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,7,2344.0082645513603,9,18
149,1,1,2,2,2,2,2,2,2,2,1,2,1,5,2,2,2,2,2,2,1,2,1,1,1,2,2,4,3,1,3,2411.02896435694,11,22
150,2,1,6,2,2,2,2,2,2,2,1,2,1,9,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,1,3,939.592838545679,11,23
151,2,1,2,2,2,2,1,2,2,1,1,2,1,5,1,2,2,2,2,1,2,1,2,1,1,2,1,4,4,2,7,13968.2664902552,9,20
153,1,1,5,2,2,2,2,2,2,2,2,2,1,9,1,1,2,1,2,1,1,2,2,1,1,1,2,4,3,2,4,2074.41776445592,12,18
154,2,1,0,2,2,2,2,1,1,2,1,2,1,4,2,2,1,2,1,1,1,1,1,1,1,2,1,4,4,2,0,4381.14547330284,9,17
156,3,1,1,2,2,2,2,2,1,2,2,1,1,6,1,1,1,1,1,1,1,1,1,1,1,2,1,2,5,1,2,1839.02683714745,11,14
157,2,2,1,2,1,2,1,2,1,1,1,2,2,5,1,1,1,1,1,1,2,1,1,1,1,1,1,4,4,2,3,4633.106616179,8,14
158,2,1,0,2,2,2,2,2,2,2,1,2,1,10,1,2,2,2,2,2,2,1,2,2,2,2,1,4,4,2,5,3865.04393951976,11,23
159,2,1,2,2,2,2,1,2,1,2,1,2,1,10,1,1,2,2,1,2,1,1,1,1,1,1,1,4,3,2,7,2838.59709662035,9,16
160,1,1,3,2,2,2,2,2,2,2,2,2,1,10,2,2,1,1,2,2,2,2,1,1,1,2,1,4,1,2,5,1158.6366475836999,12,20
161,1,1,0,2,2,2,2,2,2,2,1,2,1,12,2,2,2,2,2,2,2,1,1,1,1,2,2,4,1,2,3,19156.8536741903,11,22
162,1,1,1,2,2,2,1,2,2,2,1,2,1,6,2,1,1,1,2,2,2,2,2,2,1,2,2,3,3,2,4,7820.859663789771,10,22
163,2,1,6,2,2,2,1,2,1,1,1,2,2,6,2,1,1,2,1,2,1,2,1,2,1,1,1,3,3,2,4,559.122900436325,8,18
164,1,2,9,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,3,5,1,3,3835.0210491243897,6,15
165,1,2,0,1,2,2,1,2,2,2,1,2,1,5,2,2,2,2,1,1,1,1,1,1,1,1,2,4,4,2,5,9884.07716016436,10,18
166,2,1,2,2,2,2,1,2,1,1,1,2,1,3,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,6,1504.4528241113298,8,17
167,2,1,4,2,2,2,1,2,1,2,1,2,1,5,2,1,1,1,1,2,2,1,2,1,1,1,1,4,3,2,5,3816.30846192279,9,17
168,2,2,2,2,2,2,2,2,1,2,1,2,1,25,2,2,1,1,2,2,1,1,1,1,2,2,2,4,2,2,4,3857.1173303733704,10,20
169,1,1,4,2,2,2,1,2,1,2,1,2,1,4,2,2,2,2,2,1,2,1,1,1,1,2,1,4,5,2,0,1597.63050029229,9,20
170,1,1,2,2,2,2,2,2,1,2,1,1,1,15,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,3,1781.7943593791601,10,21
171,2,1,3,2,2,2,2,2,2,1,1,2,1,7,2,2,2,2,2,2,2,2,1,2,1,1,1,4,4,2,7,1347.03295000195,10,22
172,2,1,5,2,2,2,1,2,1,2,1,1,1,25,1,2,2,1,2,1,1,1,1,1,1,1,1,3,1,2,1,2718.47722892817,9,16
173,1,3,0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,4,3947.17927529479,6,14
174,2,2,3,1,2,1,1,2,1,2,1,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,3,2,2,3,5718.169142653411,8,16
176,2,2,2,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,1,6,903.992085243969,7,14
177,1,1,1,2,2,2,2,2,1,2,2,2,1,30,2,1,1,1,2,2,1,1,1,1,1,2,1,3,2,2,3,1536.6684645281302,11,17
178,2,1,6,2,2,2,2,2,2,2,2,2,2,30,2,1,1,2,2,1,1,1,1,1,1,1,2,3,2,1,2,2297.18449948538,12,17
179,2,1,4,2,2,2,1,2,1,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,1,2,4,3,2,4,2815.57317839812,9,15
180,4,3,6,2,2,2,2,2,2,2,1,2,2,5,2,1,2,1,2,2,2,2,1,2,1,2,1,4,2,2,7,3764.9562115739795,11,21
181,2,1,1,2,2,2,2,2,1,2,1,2,1,5,1,1,2,1,2,1,2,1,1,1,2,1,1,4,3,2,6,4611.38441928952,10,17
182,1,1,4,2,2,2,2,2,2,2,1,2,1,8,2,2,1,2,2,1,2,1,2,1,1,2,2,4,3,1,5,3052.19599608653,11,21
183,1,2,2,2,2,2,2,2,2,1,1,1,2,7,2,1,1,2,2,1,1,1,1,1,1,2,1,3,1,2,5,4491.60633871355,10,17
184,2,1,0,2,2,2,1,2,1,2,1,2,1,5,2,1,1,1,1,2,1,1,1,1,1,2,1,4,2,2,5,2589.58206586111,9,16
185,1,1,7,2,2,2,2,1,2,2,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,2,2,4,5,1,5,2906.97267782956,11,16
186,2,1,10,2,2,2,2,2,2,1,1,2,1,6,2,2,2,2,2,2,2,2,1,2,1,2,2,4,1,2,7,3617.4683050223603,10,24
187,2,3,2,1,2,1,1,1,1,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,4,1,2,3,2432.7982676855604,7,24
188,1,1,5,2,2,2,2,2,2,2,1,2,1,4,2,2,2,2,2,2,1,2,1,1,2,2,1,4,1,2,6,3462.3269042859497,11,22
190,2,2,0,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,3,2,7,2813.2175297105105,7,24
191,1,2,3,2,2,2,2,2,1,2,1,1,2,8,2,1,1,1,2,2,1,2,2,1,2,1,1,1,2,2,7,1899.5606986933103,10,19
193,2,1,1,2,2,2,1,2,1,1,2,2,2,3,2,2,2,2,2,2,2,1,2,1,1,2,1,4,3,1,5,5093.76978213839,9,22
195,1,2,0,2,2,2,2,2,2,1,1,1,2,12,2,2,2,2,2,1,1,1,1,1,1,1,1,4,2,2,7,2628.44659588879,10,18
196,3,4,1,2,2,2,1,2,2,2,1,2,2,6,2,2,1,2,2,1,1,2,1,1,1,1,2,4,3,2,5,2636.31839153822,10,19
197,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,4055.1709651819,7,15
198,2,1,6,2,2,2,1,2,1,1,1,2,2,6,2,2,1,2,1,2,2,2,1,1,1,2,1,3,2,1,7,902.6161011554649,8,20
199,1,1,1,2,2,2,1,2,1,1,1,1,1,4,2,1,1,2,2,2,1,2,2,2,1,1,1,3,5,1,4,1692.95415964818,8,20
